,date,position,title,isrc,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
1722,2019-02-22,3,SOMEONE YOU LOVED,DEUM71806776,0.751,0.501,182161,0.405,0.0,1,0.105,-5.679,1,0.0319,109.891,4,0.446
1723,2019-02-22,4,GIANT,GB1101801908,0.016,0.807,229184,0.887,0.000503,1,0.0811,-4.311,0,0.0361,122.015,4,0.606
1724,2019-02-22,5,DON'T CALL ME UP,GBUM71808052,0.296,0.674,178480,0.881,3.01e-06,9,0.0793,-2.853,1,0.147,98.994,4,0.234
1725,2019-02-22,6,DANCING WITH A STRANGER,GBUM71807386,0.45,0.741,171030,0.52,1.97e-06,8,0.222,-7.513,1,0.0656,102.998,4,0.347
1726,2019-02-22,7,WOW.,USUM71822626,0.136,0.829,149547,0.539,1.78e-06,11,0.103,-7.359,0,0.208,99.96,4,0.388
1727,2019-02-22,8,BURY A FRIEND,USUM71900770,0.74,0.905,193143,0.389,0.162,8,0.106,-14.505,1,0.332,120.046,4,0.196
1728,2019-02-22,9,OPTIONS,QM6P41894589,0.387,0.836,240082,0.621,9.16e-05,1,0.104,-4.685,0,0.0892,101.995,4,0.762
1729,2019-02-22,10,SWEET BUT PSYCHO,USAT21802011,0.0684,0.72,187436,0.706,0.0,1,0.166,-4.719,1,0.0473,133.002,4,0.62
1730,2019-02-22,11,NEEDY,USUM71900396,0.78,0.647,171573,0.309,7.41e-06,7,0.202,-7.948,0,0.0366,87.045,4,0.195
1731,2019-02-22,12,PLEASE ME,USAT21811659,0.0642,0.747,200890,0.57,0.0,1,0.0832,-6.711,1,0.081,133.992,4,0.65
1732,2019-02-22,13,GOING BAD,USAT21812712,0.259,0.889,180522,0.496,0.0,4,0.252,-6.365,0,0.0905,86.003,4,0.544
1733,2019-02-22,14,ADVICE,UKFBX1800008,0.201,0.911,192571,0.529,0.0,9,0.101,-7.996,0,0.328,105.067,4,0.76
1734,2019-02-22,15,PLAY,GBUM71807392,0.0276,0.767,186560,0.788,2.13e-05,11,0.391,-7.718,0,0.0444,125.036,4,0.591
1735,2019-02-22,16,KITCHEN KINGS,GB2DY1900071,0.504,0.652,192026,0.727,0.0,9,0.469,-5.976,1,0.0582,144.738,4,0.165
1736,2019-02-22,17,NOTHING BREAKS LIKE A HEART,GBARL1801571,0.00987,0.601,217467,0.794,1.36e-06,7,0.388,-5.844,0,0.0671,114.066,4,0.244
1737,2019-02-22,18,LOST WITHOUT YOU,UK8E21701401,0.932,0.386,225853,0.136,0.0,6,0.0653,-9.267,1,0.0458,67.016,3,0.0976
1738,2019-02-22,19,JUST YOU AND I,GBARL1601833,0.679,0.477,198102,0.52,4.34e-06,9,0.0978,-7.582,1,0.395,171.895,4,0.383
1739,2019-02-22,20,TALK,USRC11900004,0.0516,0.9,197573,0.4,0.0,0,0.0599,-8.575,1,0.127,135.984,4,0.346
